2026-02-28 00:11:15 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:15 | WARNING  | keepalive | Missing required fields: ['login_url', 'username', 'password']
2026-02-28 00:11:16 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:16 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:11:28 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:28 | WARNING  | keepalive | Missing required fields: ['login_url', 'username', 'password']
2026-02-28 00:11:29 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:29 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:11:45 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:45 | WARNING  | keepalive | Missing required fields: ['login_url', 'username', 'password']
2026-02-28 00:11:48 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:48 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:11:53 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:53 | WARNING  | keepalive | Missing required fields: ['login_url', 'username', 'password']
2026-02-28 00:11:54 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:11:54 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:17:31 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:17:31 | WARNING  | keepalive | Missing required fields: ['login_url', 'username', 'password']
2026-02-28 00:17:32 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:17:32 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:17:36 | INFO     | keepalive | 开始检测校园网登录页...
2026-02-28 00:17:36 | WARNING  | keepalive | 判断登录页时出错: 'ParseResult' object has no attribute 'host'
2026-02-28 00:17:36 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:17:36 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:18:10 | INFO     | keepalive | 开始检测校园网登录页...
2026-02-28 00:18:35 | INFO     | keepalive | 开始检测校园网登录页...
2026-02-28 00:18:38 | INFO     | keepalive | 开始检测校园网登录页...
2026-02-28 00:18:41 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:18:41 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:18:55 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:18:55 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:18:58 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:18:58 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:19:24 | INFO     | keepalive | 开始检测校园网登录页...
2026-02-28 00:19:54 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:19:54 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:20:19 | INFO     | keepalive | 开始检测校园网登录页...
2026-02-28 00:20:49 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:20:49 | INFO     | keepalive | 网络正常，不需要登录
2026-02-28 00:22:15 | WARNING  | keepalive | Configuration incomplete
2026-02-28 00:25:26 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:25:26 | WARNING  | keepalive | Missing required fields: ['login_url', 'username', 'password']
2026-02-28 00:25:28 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:25:28 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:25:34 | WARNING  | keepalive | Configuration incomplete
2026-02-28 00:34:39 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:34:39 | INFO     | keepalive | ============================================================
2026-02-28 00:34:39 | INFO     | keepalive | Campus Network Keep-Alive Service Starting (Simple Version)
2026-02-28 00:34:39 | INFO     | keepalive | ============================================================
2026-02-28 00:34:39 | INFO     | keepalive | 心跳间隔: 600秒 (10 分钟)
2026-02-28 00:34:39 | INFO     | keepalive | 注意: 本版本不包含自动登录功能，请确保 Windows WiFi 自动登录已启用
2026-02-28 00:34:44 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:34:44 | INFO     | keepalive | ============================================================
2026-02-28 00:34:44 | INFO     | keepalive | Campus Network Keep-Alive Service Starting (Simple Version)
2026-02-28 00:34:44 | INFO     | keepalive | ============================================================
2026-02-28 00:34:44 | INFO     | keepalive | 心跳间隔: 600秒 (10 分钟)
2026-02-28 00:34:44 | INFO     | keepalive | 注意: 本版本不包含自动登录功能，请确保 Windows WiFi 自动登录已启用
2026-02-28 00:34:57 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:34:57 | INFO     | keepalive | ============================================================
2026-02-28 00:34:57 | INFO     | keepalive | Campus Network Keep-Alive Service Starting (Simple Version)
2026-02-28 00:34:57 | INFO     | keepalive | ============================================================
2026-02-28 00:34:57 | INFO     | keepalive | 心跳间隔: 600秒 (10 分钟)
2026-02-28 00:34:57 | INFO     | keepalive | 注意: 本版本不包含自动登录功能，请确保 Windows WiFi 自动登录已启用
2026-02-28 00:40:02 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:40:02 | INFO     | keepalive | ============================================================
2026-02-28 00:40:02 | INFO     | keepalive | Campus Network Keep-Alive Service Starting (Simple Version)
2026-02-28 00:40:02 | INFO     | keepalive | ============================================================
2026-02-28 00:40:02 | INFO     | keepalive | 心跳间隔: 600秒 (10 分钟)
2026-02-28 00:40:02 | INFO     | keepalive | 注意: 本版本不包含自动登录功能，请确保 Windows WiFi 自动登录已启用
2026-02-28 00:40:02 | INFO     | keepalive | Checking initial network status...
2026-02-28 00:40:02 | INFO     | keepalive | Network is online
2026-02-28 00:40:02 | INFO     | keepalive | Heartbeat service started (interval: 600s)
2026-02-28 00:40:02 | INFO     | keepalive | Service started successfully
2026-02-28 00:40:02 | INFO     | keepalive | 右键托盘图标可暂停/配置
2026-02-28 00:40:02 | INFO     | keepalive | Starting tray icon...
2026-02-28 00:40:02 | INFO     | keepalive | Heartbeat OK: [baidu] OK (117ms)
2026-02-28 00:40:11 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:40:11 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:40:11 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:40:25 | INFO     | keepalive | Tray: Reconnect clicked
2026-02-28 00:40:32 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:40:32 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:40:32 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:41:00 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:41:00 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:41:00 | INFO     | keepalive | 配置已加载到界面
2026-02-28 00:42:01 | INFO     | keepalive | Tray: Quit clicked
2026-02-28 00:42:01 | INFO     | keepalive | Stopping service...
2026-02-28 00:42:01 | INFO     | keepalive | Heartbeat service stopped
2026-02-28 00:42:01 | INFO     | keepalive | Stopping tray icon...
2026-02-28 00:42:01 | INFO     | keepalive | ============================================================
2026-02-28 00:42:01 | INFO     | keepalive | Service Statistics:
2026-02-28 00:42:01 | INFO     | keepalive |   运行时长: 0.0 小时
2026-02-28 00:42:01 | INFO     | keepalive |   总心跳次数: 1
2026-02-28 00:42:01 | INFO     | keepalive |   成功次数: 1
2026-02-28 00:42:01 | INFO     | keepalive |   失败次数: 0
2026-02-28 00:42:01 | INFO     | keepalive | ============================================================
2026-02-28 00:42:01 | INFO     | keepalive | Service stopped
2026-02-28 00:44:42 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:44:42 | INFO     | keepalive | ============================================================
2026-02-28 00:44:42 | INFO     | keepalive | Campus Network Keep-Alive Service Starting (Simple Version)
2026-02-28 00:44:42 | INFO     | keepalive | ============================================================
2026-02-28 00:44:42 | INFO     | keepalive | 心跳间隔: 600秒 (10 分钟)
2026-02-28 00:44:42 | INFO     | keepalive | 注意: 本版本不包含自动登录功能，请确保 Windows WiFi 自动登录已启用
2026-02-28 00:44:42 | INFO     | keepalive | Checking initial network status...
2026-02-28 00:44:42 | INFO     | keepalive | Network is online
2026-02-28 00:44:42 | INFO     | keepalive | Heartbeat service started (interval: 600s)
2026-02-28 00:44:42 | INFO     | keepalive | Service started successfully
2026-02-28 00:44:42 | INFO     | keepalive | 右键托盘图标可暂停/配置
2026-02-28 00:44:42 | INFO     | keepalive | Starting tray icon...
2026-02-28 00:44:43 | INFO     | keepalive | Heartbeat OK: [baidu] OK (145ms)
2026-02-28 00:44:47 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:44:47 | ERROR    | keepalive | Failed to show config dialog: No module named 'config_gui_simple'
2026-02-28 00:44:51 | INFO     | keepalive | Tray: Show log clicked
2026-02-28 00:44:57 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:44:57 | ERROR    | keepalive | Failed to show config dialog: No module named 'config_gui_simple'
2026-02-28 00:45:02 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:45:02 | ERROR    | keepalive | Failed to show config dialog: No module named 'config_gui_simple'
2026-02-28 00:45:06 | INFO     | keepalive | Tray: Config clicked
2026-02-28 00:45:06 | ERROR    | keepalive | Failed to show config dialog: No module named 'config_gui_simple'
2026-02-28 00:45:07 | INFO     | keepalive | Tray: Quit clicked
2026-02-28 00:45:07 | INFO     | keepalive | Stopping service...
2026-02-28 00:45:07 | INFO     | keepalive | Heartbeat service stopped
2026-02-28 00:45:07 | INFO     | keepalive | Stopping tray icon...
2026-02-28 00:45:07 | INFO     | keepalive | ============================================================
2026-02-28 00:45:07 | INFO     | keepalive | Service Statistics:
2026-02-28 00:45:07 | INFO     | keepalive |   运行时长: 0.0 小时
2026-02-28 00:45:07 | INFO     | keepalive |   总心跳次数: 1
2026-02-28 00:45:07 | INFO     | keepalive |   成功次数: 1
2026-02-28 00:45:07 | INFO     | keepalive |   失败次数: 0
2026-02-28 00:45:07 | INFO     | keepalive | ============================================================
2026-02-28 00:45:07 | INFO     | keepalive | Service stopped
2026-02-28 00:48:17 | INFO     | keepalive | Config file not found, using defaults: D:\keep online\dist\config.yaml
2026-02-28 00:48:17 | INFO     | keepalive | ============================================================
2026-02-28 00:48:17 | INFO     | keepalive | Campus Network Keep-Alive Service Starting (Simple Version)
